name,affiliation,role,gender,tags,sector,type,cvr_person,cvr_affiliation,description
Gustav Garth-Grüner,Alm. Brand,Other role,Men,"Corporation, FINA, Insurance, Finance",Corporations,Insurance,4000196130,77333517,Automatisk CVR import at 2016-03-12 17:46:18: PERSONLIG_SUPPLEANT i Alm. Brand (2014-04-30 - ).
Henrik Malmgren,Alm. Brand,Other role,Men,"Corporation, FINA, Insurance, Finance",Corporations,Insurance,4000272637,77333517,Automatisk CVR import at 2016-03-12 17:46:18: PERSONLIG_SUPPLEANT i Alm. Brand (2014-04-30 - ).
Ib OEstergaard Nielsen,Alm. Brand,Other role,Men,"Corporation, FINA, Insurance, Finance",Corporations,Insurance,4000091311,77333517,Automatisk CVR import at 2016-03-12 17:46:18: PERSONLIG_SUPPLEANT i Alm. Brand (2012-04-26 - ).
Jan Skytte Pedersen,Alm. Brand,Vice chairman,Men,"Corporation, FINA, Insurance, Finance",Corporations,Insurance,4004173441,77333517,Automatisk CVR import at 2017-09-29 11:27:18: Jan Skytte Pedersen som naestformand i CVR 77333517 (2016-04-29 - NA).
Jesper Bach,Alm. Brand,Other role,Men,"Corporation, FINA, Insurance, Finance",Corporations,Insurance,4003886511,77333517,Automatisk CVR import at 2016-03-12 17:46:18: PERSONLIG_SUPPLEANT i Alm. Brand (2012-04-26 - ).
Joergen Henrik Christensen,Alm. Brand,Member,Men,"Corporation, FINA, Insurance, Finance",Corporations,Insurance,4000340196,77333517,Automatisk CVR import at 2016-03-12 17:46:18: BESTYRELSE i Alm. Brand (2010-04-28 - ).
Joergen Hesselbjerg Mikkelsen,Alm. Brand,Chairman,Men,"Corporation, FINA, Insurance, Finance",Corporations,Insurance,4000180737,77333517,Automatisk CVR import at 2016-03-12 17:46:18: formand i Alm. Brand (2010-05-10 - ).
Kristian Holm  Kristensen,Alm. Brand,Other role,Men,"Corporation, FINA, Insurance, Finance",Corporations,Insurance,4004049747,77333517,Automatisk CVR import at 2016-03-12 17:46:19: PERSONLIG_SUPPLEANT i Alm. Brand (2010-04-28 - ).
Lars Christiansen 45453,Alm. Brand,Member,Men,"Corporation, FINA, Insurance, Finance",Corporations,Insurance,4004093510,77333517,Automatisk CVR import at 2016-03-12 17:46:19: BESTYRELSE i Alm. Brand (2013-04-25 - ).
Per Viggo Hasling Frandsen,Alm. Brand,Member,Men,"Corporation, FINA, Insurance, Finance",Corporations,Insurance,4000128536,77333517,Automatisk CVR import at 2016-03-12 17:46:18: BESTYRELSE i Alm. Brand (2009-04-23 - ).
Soeren Boe Mortensen,Alm. Brand,Chief executive,Men,"Corporation, FINA, Insurance, Finance",Corporations,Insurance,4003935061,77333517,Automatisk CVR import at 2016-03-12 17:46:18: adm. dir i Alm. Brand (2001-12-06 - ).
Anette Eberhard,Alm. Brand,Member,Women,"Corporation, FINA, Insurance, Finance",Corporations,Insurance,4003961087,77333517,Automatisk CVR import at 2016-03-12 17:46:18: BESTYRELSESMEDLEM i Alm. Brand (2015-04-27 - ).
Helle Laasby Frederiksen,Alm. Brand,Member,Women,"Corporation, FINA, Insurance, Finance",Corporations,Insurance,4004131093,77333517,Automatisk CVR import at 2016-03-12 17:46:19: BESTYRELSE i Alm. Brand (2010-04-28 - ).
Karen Sofie Hansen-Hoeck,Alm. Brand,Member,Women,"Corporation, FINA, Insurance, Finance",Corporations,Insurance,4000302430,77333517,Automatisk CVR import at 2016-03-12 17:46:18: BESTYRELSE i Alm. Brand (2013-04-25 - ).
Lotte Kathrine Soerensen,Alm. Brand,Other role,Women,"Corporation, FINA, Insurance, Finance",Corporations,Insurance,4004179451,77333517,Automatisk CVR import at 2016-03-12 17:46:19: PERSONLIG_SUPPLEANT i Alm. Brand (2014-04-30 - ).
Susanne Maj Vendrup Larsen,Alm. Brand,Member,Women,"Corporation, FINA, Insurance, Finance",Corporations,Insurance,4004134457,77333517,Automatisk CVR import at 2016-03-12 17:46:19: BESTYRELSE i Alm. Brand (2006-04-27 - ).
Bjarke Sanbeck Nilsson,Alpha Holding,Member,Men,"Corporation, FINA, Finance",Corporations,Finance,4000403117,28884087,Automatisk CVR import at 2016-03-12 17:46:19: BESTYRELSE i Alpha Holding (2007-04-30 - ).
Bo Lundqvist,Alpha Holding,Chief executive,Men,"Corporation, FINA, Finance",Corporations,Finance,4004086041,28884087,Automatisk CVR import at 2017-09-29 11:03:36: Bo Lundqvist som direktoer i CVR 28884087 (2017-04-26 - NA).
Leif Corinth-Hansen,Alpha Holding,Chairman,Men,"Corporation, FINA, Finance",Corporations,Finance,4004060934,28884087,Automatisk CVR import at 2017-09-29 11:03:36: Leif Corinth-Hansen som formand i CVR 28884087 (2017-08-23 - NA).
Thomas Dahl Fredslund,Alpha Holding,Member,Men,"Corporation, FINA, Finance",Corporations,Finance,4000562262,28884087,Automatisk CVR import at 2016-03-12 17:46:19: BESTYRELSE i Alpha Holding (2007-04-30 - ).
Bengt Stefan Linder,ALTOR EQUITY PARTNERS A/S,Chairman,Men,"Corporation, Venture- og kapitalfonde, Finance",Corporations,Finance,4004289260,29516308,Automatisk CVR import at 2017-09-29 11:04:24: Bengt Stefan Linder som formand i CVR 29516308 (2016-06-10 - NA).
Hans Christian Henning Ragnesjö,ALTOR EQUITY PARTNERS A/S,Member,Men,"Corporation, Venture- og kapitalfonde, Finance",Corporations,Finance,4004223057,29516308,Automatisk CVR import at 2017-11-09 15:51:14: Hans Christian Henning Ragnesjö som bestyrelsesmedlem i CVR 29516308 (2017-10-05 - NA).
Harald Mix,ALTOR EQUITY PARTNERS A/S,Member,Men,"Corporation, Venture- og kapitalfonde, Finance",Corporations,Finance,4004290937,29516308,Automatisk CVR import at 2016-03-12 17:46:21: BESTYRELSE i ALTOR EQUITY PARTNERS A/S (2007-03-12 - ).
Soeren Dan Johansen,ALTOR EQUITY PARTNERS A/S,Chief executive,Men,"Corporation, Venture- og kapitalfonde, Finance",Corporations,Finance,4000164459,29516308,Automatisk CVR import at 2016-03-12 17:46:21: adm. dir i ALTOR EQUITY PARTNERS A/S (2011-09-29 - ).
Ola Arvidsson,AP Pension,Member,Binominal,"Corporation, Employer controlled, FINA, Finance, Pensions",Corporations,Pension,4004190125,19382583,Chief Human Ressource officer
Jens Erik Iversen,AP Pension,Member,Men,"Corporation, Employer controlled, FINA, Finance, Pensions",Corporations,Pension,4004019454,19382583,Souschef
Joergen Dencker Wisborg,AP Pension,Member,Men,"Corporation, Employer controlled, FINA, Finance, Pensions",Corporations,Pension,4003957919,19382583,Adm. direktoer
Lasse Nyby,AP Pension,Member,Men,"Corporation, Employer controlled, FINA, Finance, Pensions",Corporations,Pension,4003960163,19382583,Adm. direktoer
Niels Dengsoe Jensen,AP Pension,Chairman,Men,"Corporation, Employer controlled, FINA, Finance, Pensions",Corporations,Pension,4000223389,19382583,(formand)Formand: Gaardejer
Niels Joergen Ellegaard,AP Pension,Member,Men,"Corporation, Employer controlled, FINA, Finance, Pensions",Corporations,Pension,4000411580,19382583,Automatisk CVR import at 2017-11-09 15:28:04: Niels Joergen Ellegaard som bestyrelsesmedlem i CVR 19382583 (2017-04-25 - NA).
Nils Bo Normann Rasmussen,AP Pension,Chief executive,Men,"Corporation, Employer controlled, FINA, Finance, Pensions",Corporations,Pension,4003870878,19382583,Automatisk CVR import at 2017-09-29 08:51:40: Nils Bo Normann Rasmussen som adm. dir. i CVR 19382583 (2016-12-08 - NA).
Ole E. Hansen,AP Pension,Member,Men,"Corporation, Employer controlled, FINA, Finance, Pensions",Corporations,Pension,NA,19382583,Senior Director
Ole Ernstsen Hansen,AP Pension,Member,Men,"Corporation, Employer controlled, FINA, Finance, Pensions",Corporations,Pension,4004033089,19382583,Automatisk CVR import at 2017-09-29 08:51:40: Ole Ernstsen Hansen som bestyrelse i CVR 19382583 (2009-04-28 - NA).
Ole Skov,AP Pension,Member,Men,"Corporation, Employer controlled, FINA, Finance, Pensions",Corporations,Pension,4004056503,19382583,Automatisk CVR import at 2017-11-09 15:28:04: Ole Skov som bestyrelsesmedlem i CVR 19382583 (2017-04-25 - NA).
Soeren Dalum Tinggaard,AP Pension,Vice chairman,Men,"Corporation, Employer controlled, FINA, Finance, Pensions",Corporations,Pension,4004039292,19382583,(naestformand)Naestformand: Underdirektoer
Bjoerg Houmoeller,AP Pension,Member,Women,"Corporation, Employer controlled, FINA, Finance, Pensions",Corporations,Pension,4006242695,19382583,Treasurychef
Maria Kofod Larsen,AP Pension,Member,Women,"Corporation, Employer controlled, FINA, Finance, Pensions",Corporations,Pension,4006042376,19382583,Automatisk CVR import at 2017-09-29 08:51:40: Maria Kofod Larsen som bestyrelsesmedlem i CVR 19382583 (2015-03-17 - NA).
Maria Kofoed Larsen,AP Pension,Member,Women,"Corporation, Employer controlled, FINA, Finance, Pensions",Corporations,Pension,NA,19382583,Koncerndirektoer for HR og Kommunikation
Christian Riewe,Arbejdernes Landsbank,Member,Men,"Corporation, FINA, Banks, Union controlled, Finance",Corporations,Banks,4004125008,31467012,Automatisk CVR import at 2017-09-29 11:07:26: Christian Riewe som bestyrelsesmedlem i CVR 31467012 (2017-03-13 - NA).
Claus Jensen 6395,Arbejdernes Landsbank,Vice chairman,Men,"Corporation, FINA, Banks, Union controlled, Finance",Corporations,Banks,4004044805,31467012,Automatisk CVR import at 2016-03-12 17:46:36: NAESTFORMAND i Arbejdernes Landsbank (2015-03-09 - ).
Gert Rinaldo Jonassen,Arbejdernes Landsbank,Executive,Men,"Corporation, FINA, Banks, Union controlled, Finance",Corporations,Banks,4004095445,31467012,Automatisk CVR import at 2016-03-12 17:46:36: DIREKTION i Arbejdernes Landsbank (2004-05-01 - ).
Henrik Thagaard,Arbejdernes Landsbank,Member,Men,"Corporation, FINA, Banks, Union controlled, Finance",Corporations,Banks,4003968548,31467012,Automatisk CVR import at 2016-03-12 17:46:36: BESTYRELSE i Arbejdernes Landsbank (2008-05-06 - ).
Jan Walther Andersen,Arbejdernes Landsbank,Executive,Men,"Corporation, FINA, Banks, Union controlled, Finance",Corporations,Banks,4003916783,31467012,Automatisk CVR import at 2016-03-12 17:46:35: DIREKTION i Arbejdernes Landsbank (2011-01-01 - ).
Jesper Pedersen 45525,Arbejdernes Landsbank,Member,Men,"Corporation, FINA, Banks, Union controlled, Finance",Corporations,Banks,4004174121,31467012,Automatisk CVR import at 2016-03-12 17:46:37: BESTYRELSE i Arbejdernes Landsbank (2014-02-24 - ).
John Markussen,Arbejdernes Landsbank,Member,Men,"Corporation, FINA, Banks, Union controlled, Finance",Corporations,Banks,4004009763,31467012,Automatisk CVR import at 2016-03-12 17:46:36: BESTYRELSE i Arbejdernes Landsbank (1998-03-19 - ).
Kim Lind Larsen,Arbejdernes Landsbank,Member,Men,"Corporation, FINA, Banks, Union controlled, Finance",Corporations,Banks,4003973164,31467012,Automatisk CVR import at 2017-09-29 11:07:26: Kim Lind Larsen som bestyrelsesmedlem i CVR 31467012 (2016-03-07 - NA).
Kim Simonsen,Arbejdernes Landsbank,Member,Men,"Corporation, FINA, Banks, Union controlled, Finance",Corporations,Banks,4003956718,31467012,HK
Lars Andersen 21229,Arbejdernes Landsbank,Member,Men,"Corporation, FINA, Banks, Union controlled, Finance",Corporations,Banks,4004009839,31467012,Automatisk CVR import at 2016-03-12 17:46:36: BESTYRELSE i Arbejdernes Landsbank (2009-11-26 - ).
Lasse Thorn,Arbejdernes Landsbank,Member,Men,"Corporation, FINA, Banks, Union controlled, Finance",Corporations,Banks,4004148981,31467012,Automatisk CVR import at 2016-03-12 17:46:37: BESTYRELSE i Arbejdernes Landsbank (2014-02-24 - ).
Ole Dam Wehlast,Arbejdernes Landsbank,Member,Men,"Corporation, FINA, Banks, Union controlled, Finance",Corporations,Banks,4003977679,31467012,Automatisk CVR import at 2017-09-29 11:07:26: Ole Dam Wehlast som bestyrelsesmedlem i CVR 31467012 (2016-03-07 - NA).
Per Christensen 29391,Arbejdernes Landsbank,Chairman,Men,"Corporation, FINA, Banks, Union controlled, Finance",Corporations,Banks,4004093916,31467012,Automatisk CVR import at 2016-03-12 17:46:36: FORMAND i Arbejdernes Landsbank (2015-03-09 - ).
Torben Möger Pedersen,Arbejdernes Landsbank,Member,Men,"Corporation, FINA, Banks, Union controlled, Finance",Corporations,Banks,4003958003,31467012,Automatisk CVR import at 2016-03-12 17:46:36: BESTYRELSE i Arbejdernes Landsbank (2013-05-14 - ).
Anne Rishoej,Arbejdernes Landsbank,Other role,Women,"Corporation, FINA, Banks, Union controlled, Finance",Corporations,Banks,4004151413,31467012,Automatisk CVR import at 2016-03-12 17:46:37: PERSONLIG_SUPPLEANT i Arbejdernes Landsbank (2014-02-24 - ).
Helle Lizette Risgaard,Arbejdernes Landsbank,Member,Women,"Corporation, FINA, Banks, Union controlled, Finance",Corporations,Banks,4004079182,31467012,Automatisk CVR import at 2017-09-29 11:07:26: Helle Lizette Risgaard som bestyrelsesmedlem i CVR 31467012 (2016-03-07 - NA).
Janni Terp Hansen,Arbejdernes Landsbank,Other role,Women,"Corporation, FINA, Banks, Union controlled, Finance",Corporations,Banks,4004174123,31467012,Automatisk CVR import at 2016-03-12 17:46:37: PERSONLIG_SUPPLEANT i Arbejdernes Landsbank (2014-02-24 - ).
Hasse Joergensen,ARKITEKTERNES PENSIONSKASSE,Chief executive,Men,"Corporation, Architecture, Pensions",Corporations,Pension,4004045572,22078615,Automatisk CVR import at 2017-09-29 10:45:25: Hasse Joergensen som adm. dir. i CVR 22078615 (2017-01-01 - NA).
Per Froelund Thomsen,ARKITEKTERNES PENSIONSKASSE,Member,Men,"Corporation, Architecture, Pensions",Corporations,Pension,4000139587,22078615,Automatisk CVR import at 2016-03-12 17:46:42: BESTYRELSE i ARKITEKTERNES PENSIONSKASSE (2014-05-26 - ).
Soeren Kaare-Andersen,ARKITEKTERNES PENSIONSKASSE,Member,Men,"Corporation, Architecture, Pensions",Corporations,Pension,4004009188,22078615,Automatisk CVR import at 2016-03-12 17:46:42: BESTYRELSESMEDLEM i ARKITEKTERNES PENSIONSKASSE (2015-04-14 - ).
Anne Marie OEhlenschlaeger Christiansen,ARKITEKTERNES PENSIONSKASSE,Member,Women,"Corporation, Architecture, Pensions",Corporations,Pension,4000038301,22078615,Automatisk CVR import at 2016-03-12 17:46:42: BESTYRELSE i ARKITEKTERNES PENSIONSKASSE (2013-06-14 - ).
Cecilie Therese Hansen 5355,ARKITEKTERNES PENSIONSKASSE,Vice chairman,Women,"Corporation, Architecture, Pensions",Corporations,Pension,4003996615,22078615,Automatisk CVR import at 2016-03-12 17:46:42: naestformand i ARKITEKTERNES PENSIONSKASSE (2011-06-08 - ).
Kirsten Sander,ARKITEKTERNES PENSIONSKASSE,Member,Women,"Corporation, Architecture, Pensions",Corporations,Pension,4000458568,22078615,Automatisk CVR import at 2017-09-29 10:45:25: Kirsten Schmidt Sander som bestyrelsesmedlem i CVR 22078615 (2017-05-16 - NA).
Mette Elisabeth Carstad,ARKITEKTERNES PENSIONSKASSE,Chairman,Women,"Corporation, Architecture, Pensions",Corporations,Pension,4000009489,22078615,Automatisk CVR import at 2016-03-12 17:46:42: formand i ARKITEKTERNES PENSIONSKASSE (2011-06-08 - ).
Rikke Francis,ARKITEKTERNES PENSIONSKASSE,Member,Women,"Corporation, Architecture, Pensions",Corporations,Pension,4004190966,22078615,Automatisk CVR import at 2016-03-12 17:46:42: BESTYRELSE i ARKITEKTERNES PENSIONSKASSE (2013-10-22 - ).
Bjoern Berg 46117,Bank DNB Nord,Chairman,Men,"Corporation, FINA, Banks, Finance",Corporations,Banks,4004290264,28691947,Automatisk CVR import at 2016-03-12 17:47:13: formand i Bank DNB Nord (2012-11-07 - ).
Fredrik Bertil AAberg,Bank DNB Nord,Member,Men,"Corporation, FINA, Banks, Finance",Corporations,Banks,4004194571,28691947,Automatisk CVR import at 2016-03-12 17:47:13: BESTYRELSE i Bank DNB Nord (2012-11-07 - ).
Harald Johannessen,Bank DNB Nord,Member,Men,"Corporation, FINA, Banks, Finance",Corporations,Banks,4004303802,28691947,Automatisk CVR import at 2016-03-12 17:47:14: BESTYRELSE i Bank DNB Nord (2014-11-10 - ).
Olaf Tronsgaard,Bank DNB Nord,Member,Men,"Corporation, FINA, Banks, Finance",Corporations,Banks,4004303413,28691947,Automatisk CVR import at 2016-03-12 17:47:13: BESTYRELSE i Bank DNB Nord (2014-11-10 - ).
Peter Bisgaard Svanberg,Bank DNB Nord,Chief executive,Men,"Corporation, FINA, Banks, Finance",Corporations,Banks,4006419796,28691947,Automatisk CVR import at 2016-03-12 17:47:13: ADM. DIR. i Bank DNB Nord (2016-01-15 - ).
Jo Teslo,Bank DNB Nord,Member,Women,"Corporation, FINA, Banks, Finance",Corporations,Banks,4006652954,28691947,Automatisk CVR import at 2017-09-29 11:03:25: Jo Teslo som bestyrelsesmedlem i CVR 28691947 (2016-09-19 - NA).
Margrethe Melbye,Bank DNB Nord,Member,Women,"Corporation, FINA, Banks, Finance",Corporations,Banks,4004287052,28691947,Automatisk CVR import at 2016-03-12 17:47:13: BESTYRELSE i Bank DNB Nord (2014-11-10 - ).
Gregers Paulsen,BDO - Statsautoriseret revisionsaktieselskab (bestyrelse),Member,Men,"Corporation, Finance, Revision",Corporations,Finance,4003996628,20222670,NA
Henrik Brünings,BDO - Statsautoriseret revisionsaktieselskab (bestyrelse),Chairman,Men,"Corporation, Finance, Revision",Corporations,Finance,4003952091,20222670,formand
Jann Soendergaard Mikkelsen,BDO - Statsautoriseret revisionsaktieselskab (bestyrelse),Vice chairman,Men,"Corporation, Finance, Revision",Corporations,Finance,4003880318,20222670,naestformand
Joergen Kjer,BDO - Statsautoriseret revisionsaktieselskab (bestyrelse),Member,Men,"Corporation, Finance, Revision",Corporations,Finance,4000000604,20222670,NA
Steen Haagensen,BDO - Statsautoriseret revisionsaktieselskab (bestyrelse),Member,Men,"Corporation, Finance, Revision",Corporations,Finance,4004004806,20222670,NA
Stig Holst Hartwig,BDO - Statsautoriseret revisionsaktieselskab (bestyrelse),Chief executive,Men,"Corporation, Finance, Revision",Corporations,Finance,4004093209,20222670,Adm direktoer
Jeanette Staal,BDO - Statsautoriseret revisionsaktieselskab (bestyrelse),Member,Women,"Corporation, Finance, Revision",Corporations,Finance,4003956914,20222670,NA
Arni Holger Ellefsen,BI Holding,Member,Men,"Corporation, FINA, Finance",Corporations,Finance,4004072554,20895373,Automatisk CVR import at 2017-09-29 10:43:36: Arni Holger Ellefsen som bestyrelsesmedlem i CVR 20895373 (2016-04-08 - NA).
Claus Andersen 6225,BI Holding,Member,Men,"Corporation, FINA, Finance",Corporations,Finance,4004172403,20895373,Automatisk CVR import at 2016-03-12 17:47:34: BESTYRELSE i BI Holding (2012-03-23 - ).
Jan Walther Andersen,BI Holding,Member,Men,"Corporation, FINA, Finance",Corporations,Finance,4003916783,20895373,Automatisk CVR import at 2016-03-12 17:47:34: BESTYRELSE i BI Holding (2011-04-29 - ).
John Bull Fisker,BI Holding,Vice chairman,Men,"Corporation, FINA, Finance",Corporations,Finance,4003969265,20895373,Automatisk CVR import at 2016-03-12 17:47:34: naestformand i BI Holding (2009-04-24 - ).
Lars Bo Bertram,BI Holding,Chief executive,Men,"Corporation, FINA, Finance",Corporations,Finance,4004071971,20895373,Automatisk CVR import at 2016-03-12 17:47:34: adm. dir i BI Holding (2015-01-01 - ).
Lars Hoegh Moeller,BI Holding,Chairman,Men,"Corporation, FINA, Finance",Corporations,Finance,4003947247,20895373,Automatisk CVR import at 2016-03-12 17:47:34: formand i BI Holding (2008-10-09 - ).
Lars Petersson,BI Holding,Member,Men,"Corporation, FINA, Finance",Corporations,Finance,4004109879,20895373,Automatisk CVR import at 2016-03-12 17:47:34: BESTYRELSE i BI Holding (2009-04-24 - ).
Niels Erik Jakobsen,BI Holding,Member,Men,"Corporation, FINA, Finance",Corporations,Finance,4004074076,20895373,Automatisk CVR import at 2016-03-12 17:47:34: BESTYRELSE i BI Holding (2011-02-11 - ).
Karen Froesig,BI Holding,Member,Women,"Corporation, FINA, Finance",Corporations,Finance,4003962787,20895373,Automatisk CVR import at 2016-03-12 17:47:34: BESTYRELSE i BI Holding (2011-09-28 - ).
Anders Frederik Roennov-Jessen,BOARD ASSURE A/S (Bestyrelse),Chief executive,Men,"Corporation, Leadership, Insurance",Corporations,Insurance,4004178715,33649029,Automatisk CVR import at 2017-09-29 11:10:01: Anders Frederik Roennov-Jessen som adm. dir. i CVR 33649029 (2016-07-31 - NA).
Christian Engelsen,BOARD ASSURE A/S (Bestyrelse),Chairman,Men,"Corporation, Leadership, Insurance",Corporations,Insurance,4000396991,33649029,Automatisk CVR import at 2016-03-12 17:47:53: formand i BOARD ASSURE A/S (Bestyrelse) (2014-03-10 - ).
Lars Christian Brask,BOARD ASSURE A/S (Bestyrelse),Member,Men,"Corporation, Leadership, Insurance",Corporations,Insurance,4000757535,33649029,Automatisk CVR import at 2017-09-29 11:10:01: Lars Christian Brask som bestyrelsesmedlem i CVR 33649029 (2017-09-18 - NA).
Mark Skaarup Patterson,BOARD ASSURE A/S (Bestyrelse),Member,Men,"Corporation, Leadership, Insurance",Corporations,Insurance,4003939296,33649029,Automatisk CVR import at 2016-03-12 17:47:53: BESTYRELSE i BOARD ASSURE A/S (Bestyrelse) (2014-01-15 - ).
Esther Dora Rado,BOARD ASSURE A/S (Bestyrelse),Member,Women,"Corporation, Leadership, Insurance",Corporations,Insurance,4000655915,33649029,Automatisk CVR import at 2016-03-12 17:47:53: BESTYRELSE i BOARD ASSURE A/S (Bestyrelse) (2014-03-10 - ).
Axel Kierkegaard,BPW Finans,Member,Men,"Corporation, FINA, Finance",Corporations,Finance,4000038982,19201112,Automatisk CVR import at 2016-03-12 17:48:00: BESTYRELSE i BPW Finans (1998-05-19 - ).
Christian Peter Kotz,BPW Finans,Chairman,Men,"Corporation, FINA, Finance",Corporations,Finance,4003905448,19201112,Automatisk CVR import at 2016-03-12 17:48:00: formand i BPW Finans (1955-06-14 - ).
Dennis Carl Jensen,BPW Finans,Chief executive,Men,"Corporation, FINA, Finance",Corporations,Finance,4004030643,19201112,Automatisk CVR import at 2016-03-12 17:48:01: DIREKTOER i BPW Finans (2015-04-13 - ).
Friedrich Michael Pfeiffer,BPW Finans,Member,Men,"Corporation, FINA, Finance",Corporations,Finance,4004269588,19201112,Automatisk CVR import at 2016-03-12 17:48:01: BESTYRELSE i BPW Finans (2007-08-23 - ).
Thorsten Winterberg,BPW Finans,Member,Men,"Corporation, FINA, Finance",Corporations,Finance,4004128435,19201112,Automatisk CVR import at 2016-03-12 17:48:01: BESTYRELSESMEDLEM i BPW Finans (2015-12-09 - ).
Anders Christian Dam,BRFkredit,Chairman,Men,"Banks, Corporation, FINA, Finance, Housing",Corporations,Banks,4004160439,13409838,Automatisk CVR import at 2017-09-29 08:41:14: Anders Christian Dam som formand i CVR 13409838 (2017-07-03 - NA).
Carsten Tirsbaek Madsen,BRFkredit,Chief executive,Men,"Banks, Corporation, FINA, Finance, Housing",Corporations,Banks,4004058236,13409838,Automatisk CVR import at 2016-03-12 17:48:08: adm. dir i BRFkredit (2014-04-30 - ).
Kim Henriksen 46608,BRFkredit,Member,Men,"Banks, Corporation, FINA, Finance, Housing",Corporations,Banks,4004006150,13409838,Automatisk CVR import at 2016-03-12 17:48:07: BESTYRELSESMEDLEM i BRFkredit (2015-03-24 - ).
Lars Waalen Sandberg,BRFkredit,Executive,Men,"Banks, Corporation, FINA, Finance, Housing",Corporations,Banks,4004096420,13409838,Automatisk CVR import at 2016-03-12 17:48:08: DIREKTION i BRFkredit (2012-05-01 - ).
Niels Erik Jakobsen,BRFkredit,Member,Men,"Banks, Corporation, FINA, Finance, Housing",Corporations,Banks,4004074076,13409838,Automatisk CVR import at 2016-03-12 17:48:08: BESTYRELSE i BRFkredit (2014-04-30 - ).
